distance_plan_m,easting_epsg25832,northing_epsg25832,raw_dgm_nhn_m,model_nhn_m,bridge_estimated
0.00000,354210.78902,5578191.42158,616.21047,618.96150,1.00000
1.99988,354209.11998,5578190.31576,617.40934,619.01576,1.00000
3.99976,354207.39256,5578189.30874,618.57899,619.07077,1.00000
5.99965,354205.55809,5578188.49261,619.11941,619.12672,1.00000
7.99953,354203.63147,5578187.89215,619.19788,619.18383,1.00000
9.99941,354201.64698,5578187.51162,619.24734,619.24231,1.00000
11.99929,354199.63889,5578187.35530,619.30334,619.30238,1.00000
13.99918,354197.63747,5578187.42296,619.34923,619.36430,1.00000
15.99906,354195.65728,5578187.69644,619.42694,619.42830,0.00000
17.99894,354193.70641,5578188.14359,619.49480,619.49291,0.00000
19.99882,354191.78965,5578188.72136,619.55953,619.55441,0.00000
21.99871,354189.90742,5578189.39904,619.60595,619.61389,0.00000
23.99859,354188.05607,5578190.15853,619.68104,619.67495,0.00000
25.99847,354186.23238,5578190.98371,619.73585,619.73258,0.00000
27.99835,354184.43732,5578191.86883,619.78293,619.78626,0.00000
29.99823,354182.67372,5578192.81264,619.84111,619.84150,0.00000
31.99812,354180.94426,5578193.81380,619.89627,619.90049,0.00000
33.99800,354179.24851,5578194.86870,619.96546,619.96284,0.00000
35.99788,354177.58316,5578195.97161,620.02115,620.02825,0.00000
37.99776,354175.94480,5578197.11676,620.09982,620.09844,0.00000
39.99765,354174.33003,5578198.29835,620.17116,620.17024,0.00000
41.99753,354172.73542,5578199.51059,620.24086,620.24135,0.00000
43.99741,354171.15757,5578200.74770,620.31027,620.31415,0.00000
45.99729,354169.59306,5578202.00388,620.39184,620.38976,0.00000
47.99718,354168.03849,5578203.27335,620.46497,620.46576,0.00000
49.99706,354166.49044,5578204.55032,620.54137,620.54155,0.00000
51.99694,354164.94582,5578205.82955,620.61992,620.61620,0.00000
53.99682,354163.40356,5578207.10947,620.68508,620.68987,0.00000
55.99670,354161.86344,5578208.39004,620.76651,620.76613,0.00000
57.99659,354160.32527,5578209.67120,620.84270,620.84535,0.00000
59.99647,354158.78882,5578210.95290,620.92852,620.92630,0.00000
61.99635,354157.25389,5578212.23510,621.00370,621.00914,0.00000
63.99623,354155.72026,5578213.51775,621.09590,621.09594,0.00000
65.99612,354154.18772,5578214.80079,621.18707,621.18444,0.00000
67.99600,354152.65605,5578216.08418,621.26664,621.27465,0.00000
69.99588,354151.12505,5578217.36786,621.37172,621.36998,0.00000
71.99576,354149.59450,5578218.65179,621.46886,621.46656,0.00000
73.99565,354148.06420,5578219.93592,621.55863,621.56259,0.00000
75.99553,354146.53392,5578221.22020,621.66039,621.66104,0.00000
77.99541,354145.00346,5578222.50458,621.76505,621.75918,0.00000
79.99529,354143.47260,5578223.78900,621.85111,621.85379,0.00000
81.99518,354141.94127,5578225.07352,621.94746,621.94856,0.00000
83.99506,354140.40979,5578226.35848,622.04562,622.04537,0.00000
85.99494,354138.87854,5578227.64425,622.14118,622.14396,0.00000
87.99482,354137.34791,5578228.93123,622.24546,622.24435,0.00000
89.99470,354135.81829,5578230.21979,622.34644,622.34364,0.00000
91.99459,354134.29007,5578231.51032,622.44054,622.43967,0.00000
93.99447,354132.76362,5578232.80321,622.53200,622.53477,0.00000
95.99435,354131.23935,5578234.09884,622.63229,622.63177,0.00000
97.99423,354129.71763,5578235.39759,622.72799,622.73066,0.00000
99.99412,354128.19886,5578236.69986,622.83442,622.82963,0.00000
101.99400,354126.68342,5578238.00601,622.92475,622.92617,0.00000
103.99388,354125.17170,5578239.31645,623.02131,623.02255,0.00000
105.99376,354123.66409,5578240.63155,623.11946,623.12168,0.00000
107.99365,354122.16096,5578241.95170,623.22275,623.22372,0.00000
109.99353,354120.66272,5578243.27729,623.33083,623.32495,0.00000
111.99341,354119.16975,5578244.60869,623.42093,623.42150,0.00000
113.99329,354117.68243,5578245.94629,623.51684,623.51558,0.00000
115.99317,354116.20115,5578247.29049,623.60378,623.61250,0.00000
117.99306,354114.72631,5578248.64165,623.71918,623.71465,0.00000
119.99294,354113.25828,5578250.00017,623.81728,623.81641,0.00000
121.99282,354111.79745,5578251.36643,623.91519,623.91575,0.00000
123.99270,354110.34418,5578252.74078,624.01634,624.01394,0.00000
125.99259,354108.89856,5578254.12322,624.10823,624.11211,0.00000
127.99247,354107.46054,5578255.51362,624.21214,624.21344,0.00000
129.99235,354106.03010,5578256.91185,624.31688,624.31786,0.00000
131.99223,354104.60719,5578258.31775,624.42767,624.42099,0.00000
133.99212,354103.19178,5578259.73120,624.51613,624.52036,0.00000
135.99200,354101.78384,5578261.15205,624.62224,624.61859,0.00000
137.99188,354100.38332,5578262.58016,624.71556,624.71499,0.00000
139.99176,354098.99020,5578264.01540,624.80839,624.81039,0.00000
141.99164,354097.60442,5578265.45762,624.90615,624.90800,0.00000
143.99153,354096.22597,5578266.90670,625.00880,625.00741,0.00000
145.99141,354094.85479,5578268.36248,625.10854,625.10498,0.00000
147.99129,354093.49076,5578269.82477,625.19693,625.20011,0.00000
149.99117,354092.13342,5578271.29318,625.29749,625.29535,0.00000
151.99106,354090.78229,5578272.76731,625.38955,625.39067,0.00000
153.99094,354089.43687,5578274.24676,625.48477,625.48710,0.00000
155.99082,354088.09668,5578275.73110,625.58814,625.58488,0.00000
157.99070,354086.76121,5578277.21993,625.67729,625.68395,0.00000
